set_,Background,Animals,Asphalt,Cat's eyes,Cracks,Dirt road,Ego,Hard sand,Markings,Obstacles,People,Potholes,Retaining walls,Soft sand,Speed bump,Vehicles,Wet sand,model,train,eval
val,88.2,0.0,39.3,1.0,0.0,30.0,44.3,25.8,16.3,10.0,6.0,0.4,4.2,10.4,0.1,34.6,6.1,deeplab,512,2048
train,87.6,0.0,44.3,0.8,0.0,35.3,43.7,31.0,18.1,8.1,9.2,0.2,8.5,19.9,9.0,32.5,20.6,deeplab,512,2048
val,95.3,0.0,72.3,0.0,0.0,64.9,64.2,44.6,37.6,2.5,26.4,20.4,52.0,19.7,0.0,65.0,36.5,deeplab,1024,256
train,96.0,0.0,77.9,6.7,0.0,72.9,76.7,82.4,35.6,21.1,34.2,8.0,45.6,38.3,0.3,70.3,45.3,deeplab,1024,256
val,97.7,0.0,87.0,21.8,0.2,80.6,92.4,59.8,56.4,5.6,37.8,40.5,69.6,44.0,0.0,84.8,44.6,deeplab,1024,512
train,98.6,0.0,92.5,29.3,0.2,89.7,95.7,94.8,57.5,50.1,61.6,57.3,72.8,76.4,78.8,86.0,78.2,deeplab,1024,512
val,97.8,0.0,88.9,23.9,0.1,82.0,94.7,68.9,69.0,10.6,14.8,39.2,57.9,54.9,10.2,85.5,44.9,deeplab,1024,1024
train,99.5,0.0,96.3,54.7,8.2,97.6,98.0,98.1,75.2,72.3,83.2,79.8,87.7,95.0,62.9,95.1,94.1,deeplab,1024,1024
val,97.5,0.0,88.0,16.0,0.0,79.8,91.9,66.3,68.0,8.3,10.8,33.2,41.4,50.1,8.1,79.8,39.0,deeplab,1024,1536
train,98.9,0.0,94.6,28.3,1.2,92.7,97.2,95.9,71.9,60.9,78.2,58.6,80.8,84.4,77.9,91.1,84.8,deeplab,1024,1536
val,96.5,0.0,83.3,12.4,0.0,68.5,82.2,62.8,60.1,7.5,9.3,17.1,24.3,39.0,3.7,68.4,29.2,deeplab,1024,2048
train,97.7,0.0,89.0,14.2,0.0,81.2,88.8,92.0,64.2,23.0,56.2,25.9,54.5,64.7,70.9,76.9,66.7,deeplab,1024,2048
val,91.4,0.0,69.3,0.0,0.0,59.5,49.4,19.9,29.5,0.0,24.5,0.0,36.1,14.0,0.0,64.4,23.6,deeplab,1536,256
train,92.5,0.0,71.3,0.0,0.0,67.3,61.9,65.2,29.9,3.7,34.3,0.0,24.8,24.5,0.0,67.7,38.6,deeplab,1536,256
val,96.6,0.0,84.8,17.6,0.0,77.4,90.1,58.3,49.3,2.3,37.0,35.2,64.9,40.9,0.0,81.6,40.4,deeplab,1536,512
train,97.5,0.0,88.1,19.1,0.0,82.9,93.1,92.6,50.9,30.5,54.7,23.4,64.4,60.3,43.0,82.2,64.4,deeplab,1536,512
val,97.8,0.0,89.5,31.5,2.8,82.9,94.9,67.6,66.3,13.4,23.1,44.0,71.4,54.3,0.9,86.0,44.0,deeplab,1536,1024
train,99.1,0.0,95.5,46.6,16.9,95.0,97.7,96.8,72.2,62.1,78.8,76.4,82.1,88.6,67.4,92.4,87.9,deeplab,1536,1024
val,97.9,0.0,90.7,27.6,2.9,83.2,95.4,67.4,71.9,8.2,24.5,41.4,71.3,54.3,5.8,85.3,40.9,deeplab,1536,1536
train,99.6,0.0,96.8,64.6,44.4,97.9,98.5,98.4,79.8,77.7,86.3,84.8,89.3,95.7,77.7,96.2,94.9,deeplab,1536,1536
val,97.6,0.0,90.2,24.3,2.2,82.3,94.2,65.3,71.0,2.3,24.8,40.4,58.1,51.6,9.2,79.0,36.3,deeplab,1536,2048
train,99.2,0.0,96.0,54.6,31.1,95.8,97.5,97.1,77.0,74.3,85.0,70.3,88.2,90.7,88.0,94.9,90.2,deeplab,1536,2048
val,91.6,0.0,61.9,0.0,0.0,48.3,54.6,33.3,28.5,0.0,24.5,0.0,13.5,3.0,0.0,53.5,40.0,deeplab,2048,256
train,90.3,0.0,63.3,0.0,0.0,52.5,60.5,57.8,23.3,0.3,29.7,0.0,10.5,15.5,0.0,60.4,42.4,deeplab,2048,256
val,96.0,0.0,81.5,6.3,0.0,75.6,86.1,61.9,46.3,0.0,40.3,28.4,57.8,28.2,0.0,77.6,49.9,deeplab,2048,512
train,95.9,0.0,83.9,12.9,0.3,76.3,90.5,88.2,45.2,20.7,51.1,15.8,52.1,39.9,60.8,77.5,57.1,deeplab,2048,512
val,97.7,0.0,88.7,25.9,1.6,81.4,94.0,67.1,64.0,3.1,40.4,50.7,73.5,50.5,3.6,84.7,47.2,deeplab,2048,1024
train,98.6,0.0,93.9,34.4,14.2,90.1,97.1,95.2,66.0,43.5,71.2,64.3,73.6,76.5,69.1,90.1,80.4,deeplab,2048,1024
val,97.9,0.0,91.1,23.8,7.5,82.8,94.4,68.7,70.6,9.4,36.7,49.5,75.3,53.3,20.0,88.1,45.9,deeplab,2048,1536
train,99.4,0.0,96.4,58.6,42.6,96.5,98.2,97.3,77.2,71.4,82.8,83.2,86.6,92.2,77.2,94.9,90.3,deeplab,2048,1536
val,97.8,0.0,91.4,24.4,10.5,82.3,93.5,68.9,72.7,6.2,22.6,45.9,71.8,52.3,24.5,86.5,43.5,deeplab,2048,2048
train,99.5,0.0,96.9,67.4,56.1,97.9,98.0,98.5,81.1,83.0,86.4,87.2,91.7,95.9,86.8,96.6,95.4,deeplab,2048,2048
val,97.2,0.0,86.6,0.0,0.0,80.8,92.4,68.7,41.6,8.2,1.6,40.3,49.3,47.4,0.0,64.7,39.2,hrnet,256,256
train,99.9,59.9,96.3,15.5,24.1,99.3,99.7,99.5,52.2,77.3,81.2,87.8,82.0,98.6,89.6,97.3,97.8,hrnet,256,256
val,95.9,0.0,82.4,0.0,0.0,74.7,67.6,53.7,44.4,0.0,1.7,12.4,37.4,40.4,0.0,66.0,22.4,hrnet,256,512
train,97.0,0.0,85.3,0.6,0.0,77.7,76.8,87.8,43.4,6.3,12.6,4.7,44.3,49.6,17.2,63.8,43.8,hrnet,256,512
val,86.8,0.0,45.3,0.0,0.0,56.2,19.5,27.5,23.2,0.0,1.2,1.9,13.7,25.4,0.0,35.4,6.7,hrnet,256,1024
train,88.2,0.0,55.8,0.0,0.0,57.9,22.6,31.7,27.2,1.1,2.6,0.6,15.9,28.2,0.0,31.3,16.1,hrnet,256,1024
val,81.9,0.0,24.0,0.0,0.0,40.8,8.8,16.3,10.8,0.0,0.9,0.1,6.1,18.6,0.0,21.5,3.8,hrnet,256,1536
train,82.0,0.0,31.6,0.0,0.0,38.8,9.2,16.8,12.8,0.2,0.9,0.1,8.6,19.8,0.0,17.9,9.7,hrnet,256,1536
